"Cluster","RAJ2000","DEJ2000","GLON","GLAT","r50","Nstars","pmRA","s_pmRA","e_pmRA","pmDE","s_pmDE","e_pmDE","plx","s_plx","e_plx","d05","d16","dmode","d84","d95","dmode+01","dmode-01","X","Y","Z","Rgc"
"ASCC_10",51.87,34.981,155.723,-17.77,0.558,71,-1.737,0.159,0.021,-1.368,0.143,0.02,1.459,0.1,0.013,666.0,668.4,672.0,675.6,678.1,629.6,720.4,-583.3,263.1,-205.1,8927.2
"ASCC_101",288.399,36.369,68.028,11.608,0.372,75,0.934,0.205,0.032,1.288,0.258,0.033,2.488,0.057,0.008,396.4,396.8,397.3,397.9,398.2,382.2,413.8,145.6,360.9,79.9,8202.3
"ASCC_105",295.548,27.366,62.825,2.063,0.648,127,1.464,0.162,0.021,-1.635,0.145,0.017,1.783,0.065,0.006,550.5,551.0,551.8,552.5,553.0,522.9,584.0,251.8,490.5,19.9,8103.0
"ASCC_107",297.164,21.987,58.904,-1.901,0.174,59,-0.155,0.101,0.017,-5.156,0.115,0.018,1.109,0.049,0.007,873.6,875.4,878.5,881.4,883.5,807.6,963.1,453.5,751.9,-29.2,7922.3
"ASCC_108",298.306,39.349,74.378,6.074,0.537,230,-0.519,0.099,0.007,-1.69,0.129,0.008,0.838,0.048,0.003,1150.5,1151.9,1154.0,1156.1,1157.5,1034.6,1304.5,309.0,1105.1,122.1,8106.7
"ASCC_11",53.056,44.856,150.546,-9.224,0.312,276,0.926,0.163,0.012,-3.03,0.147,0.012,1.141,0.061,0.004,852.0,853.1,854.5,856.1,857.0,787.2,934.3,-734.4,414.7,-137.0,9083.9
"ASCC_110",300.742,33.528,70.411,1.378,0.203,70,0.271,0.064,0.008,-3.132,0.05,0.009,0.497,0.036,0.004,1883.4,1890.9,1902.2,1913.5,1921.0,1598.2,2349.1,637.6,1791.6,45.7,7908.1
"ASCC_111",302.891,37.515,74.714,2.056,0.537,156,-1.15,0.151,0.017,-1.524,0.154,0.013,1.166,0.059,0.005,834.5,835.4,836.9,838.4,839.5,772.3,913.4,220.5,806.8,30.0,8159.5
"ASCC_113",317.933,38.638,82.877,-6.589,0.529,196,0.8,0.125,0.01,-3.679,0.163,0.011,1.762,0.041,0.003,557.2,557.6,558.2,558.8,559.2,528.7,591.2,68.8,550.3,-64.1,8289.5
"ASCC_114",324.99,53.997,97.082,1.028,0.216,150,-3.716,0.11,0.017,-3.421,0.115,0.012,1.066,0.037,0.003,910.1,911.4,913.2,915.0,916.4,836.8,1005.0,-112.6,906.1,16.4,8501.0
"ASCC_115",329.28,51.558,97.528,-2.504,0.25,39,-0.549,0.068,0.013,-0.543,0.088,0.017,1.311,0.034,0.005,742.0,743.7,746.0,748.6,750.2,694.2,806.2,-97.6,738.9,-32.6,8469.9
"ASCC_12",72.4,41.744,162.986,-1.893,0.303,162,-0.634,0.181,0.018,-2.794,0.122,0.014,0.941,0.069,0.006,1024.5,1027.2,1030.7,1034.4,1037.1,934.3,1149.1,-985.0,301.4,-34.0,9329.9
"ASCC_123",340.299,53.986,104.434,-4.141,1.294,55,12.093,0.473,0.055,-1.407,0.437,0.05,4.262,0.172,0.022,232.6,232.8,233.1,233.3,233.5,227.7,238.6,-57.9,225.1,-16.8,8401.0
"ASCC_127",347.205,64.974,112.349,4.232,0.627,122,7.474,0.26,0.025,-1.745,0.263,0.029,2.633,0.081,0.008,374.9,375.2,375.6,376.0,376.4,362.0,390.3,-142.4,346.5,27.7,8489.5
"ASCC_128",349.949,54.435,109.77,-6.078,0.513,72,1.236,0.139,0.018,0.186,0.114,0.015,1.509,0.058,0.007,647.9,648.8,650.3,651.7,652.7,610.6,695.6,-218.7,608.6,-68.9,8580.3
"ASCC_13",78.255,44.417,163.502,3.122,0.609,110,-0.473,0.097,0.011,-1.743,0.111,0.01,0.898,0.067,0.007,1070.7,1073.5,1078.2,1082.9,1086.3,973.2,1208.5,-1032.3,305.7,58.7,9377.3
"ASCC_16",81.198,1.655,201.139,-18.373,0.376,226,1.355,0.265,0.019,-0.015,0.248,0.019,2.838,0.104,0.008,348.1,348.4,348.8,349.2,349.5,337.0,361.4,-308.7,-119.4,-109.9,8649.6
"ASCC_19",81.982,-1.987,204.914,-19.438,0.605,188,1.152,0.252,0.019,-1.234,0.219,0.018,2.768,0.089,0.007,356.8,357.1,357.6,358.0,358.3,345.2,370.9,-305.8,-142.1,-119.0,8647.0
"ASCC_21",82.179,3.527,199.938,-16.598,0.41,131,1.404,0.263,0.026,-0.632,0.238,0.022,2.866,0.131,0.012,344.3,344.8,345.5,346.2,346.7,333.9,357.8,-311.2,-112.9,-98.7,8652.0
"ASCC_23",95.047,46.71,167.472,14.416,0.319,129,1.098,0.179,0.019,-0.598,0.182,0.02,1.594,0.061,0.006,613.9,614.8,616.3,617.8,618.8,580.5,656.8,-582.7,129.5,153.4,8923.6
"ASCC_29",103.571,-1.67,214.743,-0.128,0.137,54,-1.008,0.13,0.022,-1.019,0.115,0.016,0.944,0.063,0.009,1016.7,1020.8,1027.2,1033.9,1038.4,931.6,1144.8,-844.1,-585.4,-2.3,9202.7
"ASCC_30",104.271,-6.23,219.119,-1.587,0.27,59,-1.595,0.116,0.017,-0.171,0.072,0.012,0.897,0.045,0.006,1071.1,1074.8,1080.4,1086.0,1090.0,975.0,1211.3,-837.9,-681.4,-29.9,9203.1
"ASCC_32",105.714,-26.512,237.976,-9.433,0.656,259,-3.307,0.181,0.014,3.477,0.127,0.008,1.23,0.062,0.004,792.9,793.6,794.6,795.4,796.1,736.1,863.2,-415.7,-664.6,-130.2,8780.8
"ASCC_41",116.674,0.137,219.206,12.333,0.679,127,0.646,0.241,0.027,-3.99,0.221,0.024,3.352,0.117,0.011,295.2,295.4,295.8,296.1,296.3,287.3,304.8,-223.9,-182.6,63.2,8565.8
"ASCC_58",153.657,-55.001,281.671,1.263,0.592,137,-13.276,0.21,0.019,2.786,0.271,0.026,2.06,0.055,0.006,477.6,478.1,478.6,479.2,479.6,456.8,502.7,96.8,-468.6,10.5,8256.5
"ASCC_6",26.846,57.722,130.369,-4.34,0.188,133,-0.838,0.11,0.01,0.211,0.099,0.01,0.621,0.041,0.004,1528.3,1532.0,1537.6,1543.2,1547.5,1332.7,1817.0,-993.1,1168.1,-116.4,9405.9
"ASCC_66",168.367,-55.437,289.28,4.816,0.097,22,-11.331,0.104,0.02,2.969,0.09,0.023,0.999,0.045,0.009,962.5,966.8,972.9,979.2,983.5,886.6,1077.8,320.1,-915.1,81.7,8071.9
"ASCC_67",175.28,-61.013,294.515,0.704,0.183,46,-6.766,0.066,0.009,0.919,0.063,0.009,0.482,0.025,0.004,1937.9,1946.8,1958.7,1971.6,1980.5,1637.9,2435.8,812.7,-1782.0,24.1,7735.4
"ASCC_71",185.033,-67.509,299.936,-4.82,0.255,93,-9.272,0.123,0.024,-1.351,0.154,0.016,0.786,0.045,0.005,1220.5,1223.7,1227.6,1232.0,1234.7,1093.4,1399.4,610.5,-1060.1,-103.2,7801.9
"ASCC_73",189.281,-67.203,301.542,-4.37,0.988,68,-11.539,0.314,0.04,-2.945,0.462,0.046,1.518,0.124,0.016,644.0,645.0,646.3,647.8,648.8,607.1,691.0,337.1,-549.2,-49.2,8021.7
"ASCC_77",212.694,-62.331,311.999,-0.864,0.179,150,-4.243,0.11,0.01,-3.22,0.13,0.011,0.842,0.045,0.004,1142.6,1144.7,1148.2,1151.3,1153.7,1029.9,1297.1,768.2,-853.2,-17.3,7619.7
"ASCC_79",229.731,-60.798,319.977,-2.905,0.98,129,-2.914,0.375,0.036,-4.232,0.472,0.037,1.176,0.067,0.006,826.8,828.1,829.7,831.4,832.5,766.1,904.8,634.6,-532.9,-42.0,7723.8
"ASCC_85",251.853,-45.555,339.815,-0.259,0.357,119,0.17,0.124,0.014,-4.102,0.138,0.013,1.119,0.058,0.005,865.8,867.9,870.7,873.7,875.8,801.0,953.7,817.2,-300.4,-3.9,7528.8
"ASCC_87",255.658,-28.421,355.125,8.093,0.347,51,-1.18,0.146,0.023,-3.814,0.116,0.02,1.27,0.065,0.01,763.8,766.2,769.8,773.3,775.8,714.8,834.0,759.4,-64.8,108.4,7580.9
"ASCC_88",256.886,-35.564,350.01,2.973,0.372,144,0.919,0.164,0.016,-3.282,0.142,0.013,1.097,0.06,0.005,883.0,885.1,888.3,891.4,893.8,815.8,974.9,873.6,-153.9,46.1,7468.0
"ASCC_9",41.671,57.743,137.844,-1.753,0.215,88,0.166,0.083,0.009,-1.099,0.061,0.008,0.406,0.028,0.003,2270.5,2282.6,2297.4,2314.9,2325.6,1868.3,2984.6,-1702.3,1541.2,-70.3,10159.9
"ASCC_90",264.777,-34.874,354.224,-1.954,0.388,69,-1.63,0.162,0.03,-2.681,0.206,0.043,1.713,0.054,0.006,571.2,572.4,574.1,575.8,576.9,542.8,609.0,570.8,-57.7,-19.6,7769.4
"ASCC_97",279.263,-19.139,14.25,-5.553,0.14,37,-2.331,0.327,0.066,-6.508,0.385,0.053,1.74,0.086,0.015,561.0,562.8,565.4,568.1,569.9,535.2,599.3,545.5,138.5,-54.7,7795.8
"ASCC_99",282.17,-18.488,16.07,-7.727,0.643,71,5.188,0.349,0.036,-1.311,0.455,0.049,3.367,0.106,0.012,293.6,293.9,294.4,294.9,295.3,286.0,303.4,280.4,80.8,-39.6,8060.0
"Alessi_1",13.343,49.536,123.255,-13.335,0.249,48,6.536,0.105,0.022,-6.245,0.204,0.042,1.39,0.057,0.009,699.1,701.4,704.8,708.3,710.5,658.4,758.2,-376.0,573.5,-162.5,8734.9
"Alessi_10",301.233,-10.555,31.597,-21.058,0.266,73,1.469,0.208,0.028,-7.879,0.241,0.032,2.233,0.075,0.01,440.2,440.9,442.0,443.2,444.0,423.3,462.5,351.4,216.1,-158.8,7991.6
"Alessi_12",310.875,23.871,67.488,-11.405,0.682,313,4.303,0.233,0.018,-4.639,0.18,0.013,1.816,0.088,0.006,541.0,541.4,542.0,542.6,543.0,514.1,573.0,203.4,490.8,-107.2,8151.4
"Alessi_13",51.762,-35.821,237.532,-55.941,1.361,48,36.332,0.931,0.127,-4.709,0.851,0.111,9.584,0.253,0.038,103.9,104.0,104.0,104.1,104.1,103.0,105.1,-31.3,-49.2,-86.2,8371.4
"Alessi_15",100.767,1.672,210.49,-1.099,0.008,17,-0.182,0.202,0.045,0.469,0.234,0.077,0.093,0.082,0.022,5887.7,6537.8,8228.0,11114.2,13792.5,4513.7,46418.9,-7088.9,-4174.0,-157.8,15983.5
"Alessi_17",113.853,-15.098,231.359,2.585,0.022,27,-1.526,0.088,0.03,1.557,0.104,0.022,0.264,0.058,0.016,3202.1,3283.7,3418.8,3562.3,3669.3,2547.0,5195.6,-2132.7,-2667.6,154.2,10807.1
"Alessi_18",114.295,-26.386,241.421,-2.555,0.019,27,-1.261,0.142,0.044,1.79,0.3,0.065,0.126,0.08,0.017,5931.3,6125.5,6456.7,6810.8,7073.5,3923.6,18193.3,-3085.6,-5664.4,-287.8,12752.7
"Alessi_19",274.741,12.311,40.403,12.71,0.595,74,-1.005,0.223,0.024,-7.073,0.185,0.024,1.71,0.06,0.008,572.5,573.5,575.0,576.3,577.3,543.7,610.0,427.1,363.5,126.5,7921.2
"Alessi_2",71.602,55.199,152.333,6.365,0.554,177,-0.904,0.141,0.012,-1.046,0.115,0.013,1.589,0.07,0.006,616.3,617.0,618.2,619.3,620.1,582.2,658.9,-544.1,285.3,68.5,8888.7
"Alessi_20",2.593,58.742,117.615,-3.705,0.235,124,8.195,0.293,0.027,-2.341,0.28,0.028,2.311,0.068,0.007,426.3,426.7,427.3,428.0,428.4,409.8,446.4,-197.7,377.8,-27.6,8546.0
"Alessi_21",107.69,-9.363,223.457,-0.014,0.467,137,-5.475,0.194,0.022,2.602,0.162,0.016,1.72,0.07,0.007,570.1,570.8,571.8,572.9,573.6,540.9,606.5,-415.1,-393.3,-0.1,8763.9
"Alessi_24",260.764,-62.693,328.984,-14.572,0.466,163,-0.488,0.22,0.021,-8.999,0.186,0.019,2.059,0.067,0.006,477.9,478.4,479.0,479.6,480.1,457.0,503.1,397.3,-238.9,-120.5,7946.3
"Alessi_3",109.275,-46.142,257.449,-15.064,1.541,178,-9.875,0.447,0.039,11.958,0.515,0.04,3.566,0.134,0.012,277.9,278.0,278.1,278.3,278.4,270.6,286.1,-58.4,-262.2,-72.3,8402.5
"Alessi_31",267.698,-11.853,15.339,7.709,0.331,185,-1.164,0.225,0.021,-4.122,0.206,0.017,1.477,0.072,0.006,661.2,662.3,663.9,665.5,666.6,622.6,711.1,634.4,174.0,89.1,7707.5
"Alessi_37",341.961,46.342,101.732,-11.38,0.423,142,0.351,0.135,0.013,-1.569,0.129,0.013,1.384,0.066,0.006,705.9,706.7,707.9,709.1,710.0,661.1,761.8,-141.1,679.5,-139.7,8508.3
"Alessi_43",132.631,-41.738,262.546,1.501,0.29,318,-5.546,0.318,0.018,3.869,0.342,0.018,1.032,0.082,0.005,939.4,940.8,942.8,944.7,946.1,861.5,1040.9,-122.3,-934.5,24.7,8513.7
"Alessi_44",295.325,1.592,40.121,-10.332,1.296,220,0.463,0.404,0.025,-2.325,0.182,0.012,1.496,0.22,0.012,653.9,654.5,655.6,656.6,657.4,615.2,701.5,493.2,415.6,-117.6,7857.8
"Alessi_5",160.819,-61.081,288.058,-1.966,0.542,302,-15.411,0.324,0.02,2.503,0.348,0.021,2.501,0.065,0.004,394.9,395.0,395.3,395.6,395.7,380.3,411.6,122.5,-375.6,-13.6,8226.1
"Alessi_53",97.352,9.18,202.259,-0.664,0.022,39,0.431,0.165,0.032,-0.201,0.166,0.024,0.198,0.084,0.014,4101.2,4217.8,4406.0,4603.3,4755.7,3056.8,7854.8,-4077.4,-1668.9,-51.0,12529.1
"Alessi_59",103.078,2.196,211.077,1.195,0.006,17,-0.54,0.165,0.047,0.283,0.31,0.081,0.227,0.075,0.017,3420.4,3601.6,3903.7,4266.1,4550.8,2807.9,6404.4,-3342.7,-2014.6,81.4,11855.1
"Alessi_6",220.058,-66.127,313.643,-5.544,0.294,176,-10.472,0.15,0.014,-5.559,0.163,0.012,1.1,0.057,0.005,882.3,883.6,885.5,887.1,888.4,813.4,971.5,608.3,-637.8,-85.5,7758.0
"Alessi_60",105.619,-1.12,215.188,1.944,0.048,80,-0.83,0.09,0.013,-0.653,0.091,0.015,0.336,0.058,0.007,2680.1,2702.8,2737.0,2771.2,2795.9,2148.9,3768.2,-2235.6,-1576.3,92.9,10692.4
"Alessi_62",284.026,21.597,52.816,8.685,0.256,145,0.245,0.157,0.015,-1.074,0.178,0.02,1.591,0.064,0.005,615.8,616.5,617.3,618.3,618.9,581.5,658.0,368.8,486.2,93.2,7986.0
"Alessi_8",232.408,-51.227,326.501,4.259,0.224,55,-5.899,0.22,0.027,-5.729,0.173,0.024,1.479,0.046,0.007,659.5,660.9,663.1,665.1,666.5,621.8,710.2,551.4,-365.0,49.2,7797.1
"Alessi_9",265.974,-47.028,344.269,-9.058,1.73,194,9.916,0.711,0.056,-9.157,0.624,0.051,4.822,0.259,0.02,205.9,206.0,206.1,206.3,206.4,202.0,210.5,195.9,-55.2,-32.4,8144.3
"Alessi_Teutsch_11",304.127,52.051,87.435,9.268,0.257,119,-0.139,0.163,0.018,-1.295,0.151,0.02,1.52,0.051,0.005,644.3,644.8,645.7,646.6,647.3,606.6,690.3,28.5,636.7,104.0,8335.8
"Alessi_Teutsch_12",255.421,-58.981,330.635,-10.337,0.489,44,-2.134,0.168,0.026,-8.952,0.124,0.017,1.632,0.057,0.009,599.2,600.4,602.2,604.0,605.3,568.0,640.8,516.3,-290.5,-108.1,7829.1
"Alessi_Teutsch_3",118.228,-53.022,266.426,-12.849,0.491,95,-5.378,0.161,0.022,8.926,0.18,0.017,1.417,0.046,0.005,689.7,690.5,691.6,692.7,693.4,646.9,743.0,-42.0,-673.0,-153.8,8409.0
"Alessi_Teutsch_5",332.218,61.103,104.536,4.179,0.427,158,-1.895,0.489,0.032,-3.207,0.232,0.018,1.111,0.062,0.005,873.5,875.0,876.8,878.8,880.0,806.1,961.0,-219.5,846.5,63.9,8601.2
"Alessi_Teutsch_8",180.649,-60.935,297.033,1.376,0.298,341,-6.625,0.136,0.009,1.63,0.136,0.008,0.967,0.049,0.003,1001.3,1002.4,1004.0,1005.6,1006.9,912.4,1116.0,456.2,-894.0,24.1,7934.3
"Andrews_Lindsay_5",281.079,-4.931,27.733,-0.667,0.023,96,-0.901,0.142,0.019,-3.562,0.177,0.022,0.137,0.113,0.012,5508.9,5702.6,6014.6,6369.6,6627.8,3755.3,15122.1,5323.3,2798.7,-70.0,4115.0
"Antalova_2",262.462,-32.541,355.141,0.929,0.097,35,2.037,0.307,0.055,-1.65,0.307,0.057,0.842,0.068,0.013,1125.9,1134.8,1148.4,1162.4,1171.9,1029.9,1297.3,1144.1,-97.3,18.6,7196.5
"Archinal_1",283.709,5.55,38.259,1.775,0.04,67,-0.225,0.259,0.039,-1.578,0.254,0.038,0.526,0.145,0.02,1743.5,1767.0,1802.1,1839.0,1864.1,1527.0,2198.2,1414.4,1115.4,55.8,7014.9
"Arp_Madore_2",114.683,-33.845,248.123,-5.884,0.026,33,-0.513,0.156,0.03,1.225,0.123,0.027,0.039,0.06,0.011,11674.6,12644.4,14624.6,17332.1,19635.5,5938.5,"nan",-5420.6,-13499.9,-1499.1,19277.0
"Auner_1",106.06,-19.748,231.992,-6.16,0.026,51,-0.28,0.13,0.018,1.015,0.128,0.02,0.093,0.096,0.014,7431.4,7723.0,8184.7,8695.0,9083.8,4496.8,"nan",-5010.8,-6411.7,-878.2,14810.6
"Aveni_Hunter_1",354.175,48.205,110.284,-12.823,0.496,82,-0.184,0.324,0.036,-2.087,0.451,0.047,2.348,0.107,0.012,419.2,419.8,420.6,421.5,422.1,403.7,439.1,-142.2,384.7,-93.4,8490.9
"BDSB30",333.667,61.433,105.298,4.05,0.024,33,-1.579,0.201,0.047,-3.005,0.247,0.046,1.109,0.078,0.017,868.3,872.4,878.5,884.7,888.8,807.6,963.2,-231.2,845.3,62.1,8612.8
"BDSB91",96.319,-10.551,219.468,-10.554,0.036,32,-3.183,0.196,0.048,1.15,0.282,0.063,1.033,0.067,0.013,920.7,929.0,941.9,955.0,964.0,860.8,1039.9,-714.8,-588.6,-172.5,9073.9
"BDSB93",104.297,-8.202,220.888,-2.462,0.036,33,-2.41,0.239,0.042,1.021,0.27,0.058,0.77,0.128,0.028,1228.3,1237.4,1250.8,1264.7,1273.7,1111.7,1429.7,-944.7,-818.0,-53.7,9320.7
"BDSB96",106.332,-12.327,225.477,-2.561,0.045,79,-3.843,0.322,0.042,1.071,0.274,0.029,0.844,0.105,0.013,1131.9,1137.1,1145.0,1152.9,1158.5,1027.3,1293.2,-802.1,-815.5,-51.2,9178.4
"VDBH_111,BH_111",167.32,-63.834,291.956,-3.161,0.029,29,-8.176,0.095,0.027,2.941,0.07,0.023,0.339,0.053,0.01,2650.8,2674.1,2714.8,2753.6,2782.7,2135.0,3727.1,1013.5,-2514.1,-149.7,7745.9
"VDBH_118,BH_118",170.765,-58.549,291.604,2.366,0.023,68,-4.406,0.116,0.016,1.45,0.124,0.024,0.065,0.061,0.008,9502.7,9939.8,10650.2,11497.1,12125.5,5157.5,"nan",3917.9,-9893.6,439.6,10836.8
"VDBH_121,BH_121",174.661,-63.387,294.886,-1.658,0.154,223,-6.0,0.125,0.008,0.63,0.123,0.008,0.387,0.042,0.003,2387.7,2394.9,2405.0,2415.1,2422.3,1938.1,3165.6,1011.7,-2180.8,-69.6,7645.9
"VDBH_132,BH_132",186.72,-64.058,300.25,-1.315,0.046,65,-6.22,0.093,0.011,-0.177,0.072,0.009,0.362,0.039,0.005,2524.2,2537.0,2557.8,2578.6,2593.1,2037.3,3437.9,1288.2,-2209.0,-58.7,7389.7
"VDBH_144,BH_144",198.808,-65.92,305.359,-3.161,0.024,82,-5.111,0.362,0.045,-0.375,0.204,0.024,0.045,0.088,0.01,11648.2,12357.9,13493.3,14983.6,16119.0,5743.8,"nan",7796.7,-10987.6,-744.0,11001.1
"VDBH_150,BH_150",204.506,-63.346,308.128,-0.946,0.025,55,-6.395,0.112,0.022,-1.534,0.077,0.013,0.178,0.059,0.008,4614.7,4702.8,4837.7,4984.4,5084.1,3260.3,9372.5,2986.5,-3805.0,-79.8,6567.9
"VDBH_151,BH_151",205.051,-61.731,308.672,0.596,0.008,36,-5.853,0.099,0.023,-1.878,0.17,0.034,0.176,0.078,0.013,4651.4,4742.0,4881.2,5034.4,5138.9,3279.0,9531.6,3050.0,-3810.7,50.8,6519.7
"VDBH_164,BH_164",222.311,-66.465,314.323,-6.235,0.639,209,-7.368,0.335,0.025,-10.714,0.281,0.024,2.364,0.078,0.006,417.1,417.5,417.9,418.3,418.6,401.1,436.1,290.3,-297.2,-45.4,8055.2
"VDBH_19,BH_19",121.768,-32.355,249.881,-0.022,0.025,53,-2.897,0.101,0.017,3.547,0.141,0.016,0.19,0.059,0.009,4369.5,4444.2,4563.6,4693.0,4782.6,3134.6,8396.4,-1569.7,-4285.2,-1.8,10796.5
"VDBH_200,BH_200",252.484,-44.182,341.153,0.283,0.054,113,-0.025,0.128,0.014,-1.132,0.112,0.012,0.406,0.071,0.008,2246.4,2266.5,2296.0,2326.8,2348.2,1867.3,2980.0,2172.8,-741.7,11.3,6211.6
"VDBH_202,BH_202",253.779,-40.947,344.259,1.598,0.064,148,-1.869,0.125,0.01,-3.802,0.11,0.011,0.551,0.052,0.005,1705.2,1713.4,1724.7,1736.8,1744.3,1471.2,2083.9,1659.4,-467.7,48.1,6696.9
"VDBH_211,BH_211",255.535,-41.113,344.95,0.456,0.082,110,-0.671,0.159,0.019,-1.943,0.146,0.019,0.524,0.101,0.009,1779.8,1791.5,1808.6,1825.7,1837.4,1531.5,2206.7,1746.5,-469.6,14.4,6610.2
"VDBH_217,BH_217",259.071,-40.815,346.781,-1.51,0.039,129,-0.661,0.135,0.015,-1.826,0.122,0.011,0.31,0.109,0.01,2866.9,2901.7,2952.8,3005.9,3040.7,2278.5,4186.9,2873.5,-675.0,-77.8,5508.0
"VDBH_221,BH_221",259.641,-32.334,353.972,3.014,0.152,162,2.0,0.279,0.023,-1.568,0.243,0.02,0.884,0.079,0.007,1087.3,1090.4,1095.5,1100.3,1103.8,987.3,1230.3,1087.9,-114.9,57.6,7253.0
"VDBH_222,BH_222",259.694,-38.289,349.121,-0.443,0.02,129,-2.091,0.341,0.032,-3.192,0.245,0.024,0.114,0.183,0.016,6258.0,6537.4,6976.5,7515.4,7894.6,4114.3,23151.7,6850.9,-1316.6,-54.0,1987.7
"VDBH_23,BH_23",123.449,-36.329,253.969,-1.03,0.372,94,-7.101,0.258,0.028,7.35,0.154,0.025,2.257,0.103,0.01,436.1,436.7,437.5,438.3,438.9,419.2,457.6,-120.8,-420.4,-7.9,8471.3
"VDBH_245,BH_245",266.561,-29.7,359.419,-0.513,0.016,44,-0.497,0.219,0.028,-2.194,0.199,0.029,0.336,0.107,0.018,2578.3,2632.6,2736.3,2848.2,2917.3,2148.4,3767.6,2736.0,-27.8,-24.5,5604.0
"VDBH_37,BH_37",128.946,-43.61,262.345,-1.785,0.034,109,-3.484,0.117,0.014,3.953,0.116,0.013,0.243,0.063,0.006,3571.9,3611.7,3670.0,3731.3,3774.2,2683.9,5798.8,-488.7,-3635.5,-114.3,9547.9
"VDBH_54,BH_54",132.413,-44.353,264.468,-0.279,0.048,49,-4.759,0.077,0.02,5.244,0.098,0.034,0.42,0.035,0.005,2195.0,2209.0,2229.4,2249.8,2263.8,1823.0,2868.9,-214.9,-2219.0,-10.9,8838.0
"VDBH_55,BH_55",134.042,-39.518,261.527,3.745,0.048,80,-3.971,0.126,0.013,3.118,0.116,0.022,0.185,0.071,0.009,4486.6,4559.4,4671.2,4788.7,4872.6,3183.6,8769.1,-686.8,-4610.4,305.1,10136.0
"VDBH_56,BH_56",134.355,-43.181,264.47,1.548,0.215,122,-5.57,0.187,0.016,5.439,0.151,0.016,1.078,0.058,0.006,899.1,900.8,903.0,905.3,906.8,828.2,992.6,-87.0,-898.4,24.4,8474.7
"VDBH_66,BH_66",141.314,-54.719,276.0,-3.013,0.023,43,-4.157,0.095,0.015,3.599,0.07,0.013,0.097,0.042,0.007,7334.4,7565.0,7927.3,8338.9,8635.4,4421.2,38178.7,827.5,-7872.9,-416.6,10882.1
"VDBH_67,BH_67",141.687,-51.273,273.763,-0.381,0.025,51,-3.64,0.164,0.025,2.811,0.125,0.025,0.098,0.111,0.016,7022.3,7340.3,7888.0,8506.3,8983.2,4406.2,37176.9,517.7,-7870.8,-52.4,11096.7
"VDBH_72,BH_72",142.838,-53.04,275.491,-1.178,0.023,68,-4.621,0.131,0.019,3.299,0.07,0.018,0.11,0.053,0.006,6776.7,6941.8,7181.9,7452.0,7647.0,4182.9,25556.0,687.1,-7147.4,-147.6,10471.5
"VDBH_73,BH_73",142.981,-50.225,273.638,0.944,0.014,59,-3.574,0.239,0.034,2.306,0.187,0.031,0.105,0.117,0.014,6600.3,6916.5,7456.6,8075.8,8550.1,4272.7,29262.7,473.1,-7440.6,122.8,10828.2
"VDBH_78,BH_78",145.952,-56.574,279.186,-2.615,0.013,50,-3.69,0.196,0.028,2.71,0.174,0.03,0.15,0.097,0.014,5170.3,5322.2,5575.4,5845.4,6048.0,3579.4,12608.5,889.1,-5498.1,-254.4,9259.9
"VDBH_84,BH_84",150.331,-58.218,282.057,-2.418,0.024,76,-4.848,0.154,0.026,3.289,0.106,0.016,0.2,0.055,0.007,4230.6,4285.5,4378.7,4466.5,4532.3,3043.6,7775.4,913.8,-4278.3,-184.7,8570.4
"VDBH_85,BH_85",150.469,-49.564,276.914,4.546,0.031,81,-5.689,0.187,0.028,4.676,0.144,0.021,0.106,0.095,0.011,6815.6,7046.5,7405.7,7803.4,8098.5,4256.6,28561.4,888.7,-7328.8,587.0,10451.4
"VDBH_87,BH_87",151.148,-55.386,280.724,0.122,0.066,199,-6.335,0.128,0.011,2.626,0.128,0.012,0.416,0.057,0.004,2222.0,2232.1,2245.8,2260.8,2269.6,1834.2,2897.3,417.9,-2206.6,4.8,8223.7
"VDBH_90,BH_90",153.064,-58.069,283.139,-1.451,0.043,145,-5.385,0.149,0.012,2.295,0.122,0.01,0.369,0.055,0.005,2481.2,2493.1,2513.6,2532.4,2547.8,2008.6,3357.9,571.2,-2447.0,-63.7,8145.1
"VDBH_92,BH_92",154.779,-56.425,282.988,0.431,0.02,43,-5.896,0.106,0.019,3.446,0.111,0.015,0.388,0.031,0.006,2353.3,2372.6,2400.8,2428.9,2449.7,1936.0,3159.3,539.6,-2339.3,18.0,8143.7
"VDBH_99,BH_99",159.553,-59.168,286.585,-0.592,0.537,389,-14.494,0.289,0.016,0.919,0.307,0.017,2.225,0.076,0.004,443.1,443.3,443.6,443.9,444.0,424.7,464.1,126.6,-425.1,-4.6,8224.4
"Barkhatova_1",313.398,46.037,86.208,0.818,0.072,60,-2.44,0.098,0.013,-4.478,0.076,0.014,0.476,0.04,0.006,1959.9,1969.1,1981.5,1995.9,2004.2,1654.5,2471.3,131.0,1977.0,28.3,8443.7
"Basel_1",282.036,-5.876,27.326,-1.946,0.07,89,-0.079,0.104,0.013,-4.509,0.109,0.012,0.525,0.052,0.006,1781.2,1790.2,1805.0,1819.7,1830.3,1529.2,2202.0,1602.6,828.1,-61.3,6788.1
"Basel_10",34.878,58.304,134.304,-2.61,0.032,17,-0.48,0.18,0.051,-0.815,0.062,0.043,0.442,0.017,0.006,2065.4,2087.3,2122.1,2157.9,2182.2,1750.6,2693.6,-1480.6,1517.1,-96.6,9937.1
