"n_Cluster","Cluster","V","RAJ2000","DEJ2000","Rad","N","Nc","pmRAc","e_pmRAc","pmDEc","e_pmDEc","rhoc","Nf","pmRAf","e_pmRAf","pmDEf","e_pmDEf","rhof","FileName","n_FileName","ocl_left","RV","e_RV","o_RV","r_RV","ocl_right","_RA","_DE"
"nan","Collinder 261","nan",189.48749,-68.36667,5.5,604.0,366.0,-0.65,4.94,-0.51,3.76,0.04,238.0,-1.65,19.37,-1.49,16.82,-0.11,"Collinder_261.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Collinder 268","nan",199.55417,-67.08334,3.5,189.0,124.0,-2.12,4.07,-0.46,2.33,0.19,65.0,-3.47,16.72,0.26,11.87,-0.31,"Collinder_268.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Collinder 269","nan",200.87917,-66.18333,8.5,1369.0,986.0,-3.45,3.6,-3.87,2.55,0.03,383.0,-3.68,18.8,-3.84,21.61,-0.07,"Collinder_269.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Collinder 271","nan",202.47501,-64.2,3.5,416.0,264.0,-4.27,6.5,-2.83,5.28,-0.05,152.0,-1.17,26.02,-5.35,24.8,0.11,"Collinder_271.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Collinder 272","nan",202.60834,-61.31667,6.0,654.0,467.0,-5.17,4.78,-2.59,4.06,0.07,187.0,-6.46,19.5,-2.98,23.21,-0.04,"Collinder_272.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Collinder 275","nan",203.66251,-60.2,6.5,688.0,440.0,-1.93,4.81,-3.84,3.78,0.01,248.0,-2.61,20.99,-3.93,19.6,0.02,"Collinder_275.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Collinder 277","nan",207.10001,-66.06667,8.5,1424.0,1062.0,-5.25,4.61,-6.42,3.13,0.11,362.0,-5.57,19.35,-5.84,19.27,0.11,"Collinder_277.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Collinder 292","nan",237.53333,-57.61666,8.0,1608.0,1018.0,-4.26,5.57,-2.97,5.11,0.02,590.0,-3.47,23.78,-1.64,24.4,0.0,"Collinder_292.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Collinder 307","nan",248.83334,-51.0,3.5,241.0,176.0,-0.55,5.26,-3.5,3.53,0.3,65.0,-5.21,14.75,-3.65,17.53,0.04,"Collinder_307.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Collinder 316","V",253.87498,-40.83333,51.0,22853.0,18316.0,-2.26,2.64,-3.39,3.34,0.18,4537.0,-4.05,21.04,-6.27,23.14,0.04,"Collinder_316.dat","nan","ocl",-29.05,3.94,14.0,1.0,"ocl",253.875,-40.83333
"nan","Collinder 333","nan",262.87918,-34.01667,4.5,210.0,159.0,-2.42,4.0,0.38,3.86,0.13,51.0,1.11,23.79,-4.92,24.25,-0.06,"Collinder_333.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Collinder 338","nan",264.58749,-37.71667,11.0,1553.0,1136.0,-1.68,4.13,-1.89,4.56,0.16,417.0,-2.28,17.84,-3.84,19.73,0.09,"Collinder_338.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Collinder 34","V",44.84583,60.56667,13.5,888.0,765.0,0.4,2.04,0.44,1.16,-0.25,123.0,3.01,13.01,-4.23,10.88,-0.33,"Collinder_34.dat","nan","ocl",-40.0,6.7,1.0,1.0,"ocl",44.84583,60.56667
"*","Collinder 345","nan",266.14584,-33.86666,3.5,374.0,282.0,0.6,4.26,-1.38,2.86,-0.01,92.0,-1.59,25.08,-2.15,25.94,0.03,"Collinder_345.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Collinder 347","nan",266.57498,-29.33333,6.0,491.0,393.0,-1.94,2.11,-2.13,1.69,0.18,98.0,-3.48,13.74,-1.31,17.63,0.14,"Collinder_347.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Collinder 350","nan",267.02499,1.3,20.5,1490.0,1282.0,-1.17,2.65,-2.52,3.45,0.07,208.0,-0.86,14.47,-5.41,14.47,0.07,"Collinder_350.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Collinder 351","nan",267.25,-28.73583,5.2,267.0,195.0,0.73,0.1,-2.95,1.66,0.11,72.0,-0.97,13.15,-3.99,17.4,0.25,"Collinder_351.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Collinder 359","nan",270.27499,2.9,121.0,82661.0,70733.0,0.47,3.41,-2.84,4.68,0.14,11928.0,-0.71,19.47,-3.83,30.52,0.02,"Collinder_359.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Collinder 367","nan",272.46249,-23.82833,21.0,2478.0,2134.0,-0.65,2.34,-3.73,3.32,0.12,344.0,-3.22,19.22,-7.07,21.76,0.09,"Collinder_367.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Collinder 394","nan",283.06665,-20.20333,12.0,1630.0,1433.0,1.96,3.99,-3.78,4.33,0.02,197.0,4.19,21.19,-3.52,23.26,0.02,"Collinder_394.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Collinder 416, NGC 6882","V",302.89581,26.53444,5.0,246.0,168.0,-4.2,1.1,-5.25,1.31,0.22,78.0,-2.51,17.96,-2.1,13.82,0.26,"Collinder_416.dat","nan","ocl",-17.67,10.0,4.0,1.0,"ocl",302.89583,26.53444
"nan","Collinder 419","nan",304.52914,40.73195,3.0,74.0,51.0,-2.15,0.47,-6.28,0.1,-0.09,23.0,-1.21,13.41,-9.46,8.48,0.11,"Collinder_419.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Collinder 428","nan",315.79999,44.58333,6.0,405.0,303.0,-3.13,2.76,-1.47,1.49,0.23,102.0,-1.12,14.41,-0.81,15.66,0.03,"Collinder_428.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Collinder 463","nan",26.4375,71.81001,29.5,2519.0,1948.0,-1.26,2.67,-0.17,1.79,-0.11,571.0,3.11,16.94,-2.08,13.64,-0.11,"Collinder_463.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Collinder 464","nan",78.1625,73.97472,61.0,6735.0,5212.0,1.81,2.2,0.57,3.27,-0.07,1523.0,4.47,12.39,-5.95,15.62,-0.17,"Collinder_464.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Collinder 465","nan",106.71667,-10.53833,5.5,168.0,117.0,-0.02,0.61,1.15,0.1,-0.58,51.0,2.33,8.76,-1.45,15.64,0.08,"Collinder_465.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Collinder 466","nan",106.73333,-10.715,3.0,72.0,60.0,-0.1,4.77,0.82,1.94,0.03,12.0,-2.91,15.29,10.54,17.3,0.46,"Collinder_466.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Collinder 468","nan",271.64584,-27.46,1.45,179.0,114.0,0.72,12.03,-0.56,11.47,-0.19,65.0,6.32,34.64,-16.29,31.77,0.08,"Collinder_468.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Collinder 469","nan",274.14166,-18.31167,2.5,132.0,112.0,1.09,2.08,-1.52,3.19,-0.14,20.0,-9.19,14.38,5.99,22.13,0.77,"Collinder_469.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Collinder 471","V",331.77499,72.0,66.0,6155.0,4573.0,-2.22,4.61,-3.32,3.56,0.33,1582.0,2.15,16.94,-0.37,14.85,0.31,"Collinder_471.dat","nan","ocl",-10.94,2.01,1.0,1.0,"ocl",331.775,72.0
"nan","Collinder 62","nan",80.72084,41.08083,18.5,1582.0,1299.0,0.37,2.35,-0.88,2.68,-0.04,283.0,2.61,16.31,-3.88,17.35,-0.09,"Collinder_62.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Collinder 69","nan",83.775,9.93333,36.0,3435.0,2883.0,0.28,2.2,-5.34,2.42,-0.11,552.0,1.57,15.17,-8.48,16.32,-0.04,"Collinder_69.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Collinder 70","nan",83.875,-1.1,71.0,8413.0,6607.0,-0.17,2.64,-1.59,3.34,0.02,1806.0,1.14,13.31,-5.7,13.56,-0.11,"Collinder_70.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Collinder 74","nan",87.16667,7.35833,4.0,88.0,66.0,1.92,0.55,-3.0,0.1,-0.02,22.0,-0.76,19.04,-2.47,26.6,-0.21,"Collinder_74.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Collinder 89","nan",94.5,23.63333,31.0,3397.0,2971.0,0.9,2.17,-2.0,2.7,-0.01,426.0,2.2,15.18,-7.06,15.13,-0.08,"Collinder_89.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Collinder 91","V",95.425,2.36667,7.5,214.0,164.0,-1.99,2.95,-3.4,2.68,0.34,50.0,-2.16,12.81,-5.72,13.89,-0.06,"Collinder_91.dat","nan","ocl",-11.84,0.23,1.0,1.0,"ocl",95.425,2.36667
"*","Collinder 92","nan",95.725,5.11667,6.5,226.0,192.0,-0.67,3.25,-2.12,1.91,-0.19,34.0,1.47,18.48,-4.52,21.67,-0.15,"Collinder_92.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Collinder 95","nan",97.7125,9.94361,14.5,577.0,483.0,-0.74,2.03,-1.17,1.97,0.16,94.0,0.71,13.87,-1.35,14.34,-0.05,"Collinder_95.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Collinder 96","V",97.575,2.86667,7.0,192.0,140.0,-0.94,2.4,-4.2,3.04,-0.16,52.0,1.9,22.85,-6.9,12.95,0.13,"Collinder_96.dat","nan","ocl",12.0,7.4,1.0,1.0,"ocl",97.575,2.86667
"nan","Collinder 97","nan",97.825,5.91667,13.5,722.0,542.0,-1.62,2.33,-1.32,2.56,-0.16,180.0,-3.16,15.06,-4.41,13.19,-0.09,"Collinder_97.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Czernik 10","nan",38.475,60.16667,2.1,22.0,19.0,-0.55,0.14,-2.23,2.71,0.44,3.0,-4.02,15.03,5.86,7.18,0.93,"Czernik_10.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Czernik 11","nan",39.14583,59.63334,2.5,40.0,36.0,-0.08,2.49,-0.53,3.49,-0.44,4.0,-16.5,9.39,-4.79,2.69,0.48,"Czernik_11.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Czernik 12","nan",39.8,54.91667,4.0,93.0,73.0,-0.75,1.73,-1.66,0.92,-0.19,20.0,1.35,18.19,-4.37,15.79,-0.51,"Czernik_12.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Czernik 13","nan",41.175,62.35,3.0,86.0,61.0,-1.05,5.46,-2.21,2.74,-0.52,25.0,3.84,22.46,4.5,18.17,0.38,"Czernik_13.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Czernik 16","nan",52.7,52.65,3.5,39.0,33.0,0.29,2.58,-3.4,3.56,-0.28,6.0,-8.02,31.14,-6.8,13.87,0.92,"Czernik_16.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Czernik 17","nan",58.1,61.95,2.8,45.0,37.0,-2.3,4.81,1.81,0.1,-0.26,8.0,1.37,10.48,-13.22,5.51,-0.58,"Czernik_17.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Czernik 18","nan",67.0,30.93333,3.5,52.0,43.0,0.1,0.1,-3.72,1.9,-0.51,9.0,6.07,9.4,-16.23,13.16,-0.3,"Czernik_18.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Czernik 19","nan",74.2875,28.77972,5.0,119.0,98.0,4.39,2.54,-1.93,1.58,-0.42,21.0,6.76,10.54,-7.83,9.15,-0.23,"Czernik_19.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Czernik 2","nan",10.925,60.15,3.9,159.0,136.0,-0.64,2.42,-1.01,1.07,-0.32,23.0,5.35,12.08,-3.93,7.09,0.06,"Czernik_2.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Czernik 20","V",80.13333,39.54722,19.0,1874.0,1626.0,-0.67,1.99,-3.3,1.69,-0.05,248.0,-0.58,21.59,-8.03,22.68,-0.07,"Czernik_20.dat","nan","ocl",-29.97,10.0,1.0,1.0,"ocl",80.13333,39.54722
"nan","Czernik 21","nan",81.67083,36.01361,4.0,84.0,76.0,-2.56,0.1,-4.73,4.77,-0.65,8.0,13.32,0.1,-5.91,14.53,0.35,"Czernik_21.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Czernik 23","nan",87.51667,28.89472,3.5,109.0,74.0,-0.02,2.86,-0.32,2.11,-0.22,35.0,-0.06,16.42,3.2,21.62,0.01,"Czernik_23.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Czernik 24","nan",88.85416,20.88639,4.0,94.0,67.0,1.79,1.71,-4.31,0.1,0.41,27.0,3.44,10.26,-5.01,16.17,0.3,"Czernik_24.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Czernik 26","nan",97.7,-4.21667,3.5,66.0,58.0,2.99,0.1,0.05,0.1,0.04,8.0,2.96,12.43,-3.4,13.37,-0.47,"Czernik_26.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Czernik 27","nan",105.8,6.41667,2.5,45.0,41.0,-2.32,0.1,-1.94,3.89,0.25,4.0,1.1,13.4,-10.76,18.22,-0.99,"Czernik_27.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Czernik 29","nan",112.075,-15.4,3.5,116.0,88.0,-3.04,2.78,2.18,0.1,-0.26,28.0,0.63,26.69,0.5,19.17,0.05,"Czernik_29.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Czernik 3","nan",15.775,62.78333,2.2,33.0,22.0,0.69,4.09,5.2,3.32,0.46,11.0,8.11,10.4,3.94,13.12,0.15,"Czernik_3.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Czernik 31","nan",114.24583,-20.50972,3.5,125.0,102.0,-2.15,1.47,2.16,2.65,-0.35,23.0,-5.9,16.88,5.44,19.2,-0.59,"Czernik_31.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Czernik 32","nan",117.625,-29.84583,2.5,51.0,39.0,-2.18,1.41,2.64,1.56,0.26,12.0,-1.07,13.82,-2.48,6.81,-0.55,"Czernik_32.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Czernik 37","nan",268.32083,-27.36944,3.5,135.0,96.0,0.74,3.24,-3.72,2.02,-0.23,39.0,-6.15,18.17,-4.83,13.91,-0.01,"Czernik_37.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Czernik 39","nan",286.93335,4.33333,2.25,110.0,81.0,0.7,1.01,-3.82,2.76,-0.18,29.0,3.98,22.06,-5.01,14.89,0.05,"Czernik_39.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Czernik 40","nan",295.65002,21.15389,8.2,577.0,492.0,-1.37,1.41,-4.48,0.73,0.1,85.0,0.28,19.44,-6.33,23.34,0.0,"Czernik_40.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Czernik 41","nan",297.75418,25.26861,3.2,86.0,68.0,-2.49,5.08,-2.6,1.22,0.45,18.0,-7.26,14.23,6.56,17.95,0.34,"Czernik_41.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Czernik 42","nan",339.95001,59.915,2.75,42.0,38.0,-2.41,2.05,-1.56,0.1,0.54,4.0,-17.3,22.92,18.42,30.24,-0.33,"Czernik_42.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Czernik 43","nan",351.45001,61.31667,3.5,154.0,105.0,-0.76,4.86,-2.72,1.2,-0.25,49.0,-0.29,24.36,-6.88,17.42,-0.05,"Czernik_43.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Czernik 45","nan",359.07498,64.55,2.25,28.0,19.0,-3.09,5.51,1.04,4.18,0.74,9.0,-15.17,37.2,-0.97,0.1,-0.62,"Czernik_45.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Czernik 6","V",30.5,62.83333,5.0,196.0,158.0,-1.15,3.34,0.15,1.21,-0.1,38.0,4.26,15.56,-4.36,14.84,-0.07,"Czernik_6.dat","nan","ocl",-22.0,10.0,1.0,1.0,"ocl",30.5,62.83333
"nan","Czernik 7","nan",30.75417,62.24667,6.0,201.0,160.0,-1.22,2.25,0.21,2.23,-0.01,41.0,-1.61,20.56,-0.97,15.16,-0.3,"Czernik_7.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Czernik 9","nan",38.38334,59.88667,2.6,40.0,36.0,-1.4,0.1,0.28,0.1,-0.63,4.0,0.42,23.52,-2.38,0.1,0.99,"Czernik_9.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","DC 1","nan",100.50417,-12.97417,1.35,14.0,11.0,-0.15,0.1,2.01,0.12,-0.38,3.0,9.98,28.66,-3.63,7.22,-0.99,"DC_1.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","DC 5","nan",159.99583,-59.18917,2.4,102.0,77.0,-5.75,2.1,-2.24,0.1,-0.08,25.0,-6.13,22.34,-6.49,26.3,0.12,"DC_5.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Danks 1","nan",198.11249,-62.70028,1.5,21.0,15.0,-7.21,2.13,-3.18,0.1,-0.3,6.0,-21.56,7.87,-2.69,9.32,0.2,"Danks_1.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Danks 2","nan",198.22501,-62.68,1.75,32.0,22.0,-9.7,3.09,-4.99,0.1,0.06,10.0,-3.53,28.89,-11.64,18.48,0.0,"Danks_2.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Dias 1","nan",10.64583,64.06805,3.3,62.0,51.0,-2.55,0.1,-2.0,0.1,0.81,11.0,2.73,10.19,-4.18,19.91,-0.4,"Dias_1.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Dias 2","nan",92.29584,4.59306,6.5,215.0,189.0,-0.68,1.71,-4.25,1.69,-0.26,26.0,0.25,21.93,-1.29,18.51,-0.09,"Dias_2.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Dias 3","nan",107.62917,-8.4275,9.0,531.0,384.0,1.67,2.69,-2.33,2.38,-0.11,147.0,1.92,17.84,-1.49,17.15,0.04,"Dias_3.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Dias 4","nan",205.85416,-63.01333,4.2,214.0,168.0,-4.26,4.79,-5.28,3.47,0.06,46.0,-3.37,20.24,-0.88,24.57,-0.24,"Dias_4.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Dias 6","nan",277.625,-12.31639,4.0,188.0,105.0,-1.04,1.93,-1.65,1.79,-0.15,83.0,-1.27,13.3,0.85,12.81,0.02,"Dias_6.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Dias 7","nan",297.33749,21.17,6.0,619.0,410.0,0.48,1.59,-6.19,3.24,0.2,209.0,2.61,20.46,-2.95,19.4,-0.01,"Dias_7.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Dias 8","nan",298.02499,11.63444,6.0,314.0,182.0,-3.36,0.14,-3.03,0.1,-0.01,132.0,-1.7,14.56,-1.04,15.35,0.0,"Dias_8.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Dol Dzim 10","nan",301.45001,40.53333,2.25,80.0,61.0,-2.05,0.1,-9.13,2.31,0.66,19.0,-2.65,13.94,-2.37,12.12,-0.59,"Dol_Dzim_10.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Dol Dzim 11","nan",312.75,35.95,2.5,59.0,44.0,-2.22,3.72,-2.6,0.1,0.47,15.0,-1.4,14.0,-8.48,16.31,0.36,"Dol_Dzim_11.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Dol Dzim 2","nan",80.975,11.46667,3.5,31.0,21.0,4.04,0.1,-3.5,1.67,0.02,10.0,-0.09,12.01,-7.3,12.43,0.2,"Dol_Dzim_2.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Dol Dzim 3","nan",83.425,26.48333,3.25,35.0,25.0,-1.54,1.94,3.17,2.69,-0.11,10.0,-3.97,14.78,-9.55,4.7,0.57,"Dol_Dzim_3.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Dol Dzim 4","nan",83.975,25.95,7.0,119.0,84.0,-1.11,0.1,1.39,0.1,0.33,35.0,0.94,13.99,-7.45,20.65,0.16,"Dol_Dzim_4.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Dol Dzim 9","nan",272.20001,31.53333,7.0,111.0,82.0,-0.28,4.13,-1.19,6.45,-0.2,29.0,0.84,21.13,-8.04,10.15,0.19,"Dol_Dzim_9.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Dolidze 1","V",302.40833,36.50583,5.0,368.0,275.0,-1.27,1.54,-5.65,1.83,0.21,93.0,-9.14,27.33,-2.8,21.1,-0.1,"Dolidze_1.dat","nan","ocl",4.0,3.7,1.0,1.0,"ocl",302.40833,36.50583
"*","Dolidze 11","nan",306.625,41.45,3.5,51.0,48.0,-3.05,4.14,-5.87,3.77,0.25,3.0,14.29,21.89,-15.3,8.62,0.99,"Dolidze_11.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Dolidze 13","nan",12.425,64.12639,9.0,413.0,329.0,-2.86,2.09,-0.71,0.73,-0.12,84.0,0.21,17.46,-2.86,11.53,0.05,"Dolidze_13.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Dolidze 14","nan",61.67916,27.54278,10.0,180.0,131.0,1.71,2.37,-0.88,1.54,-0.01,49.0,5.89,11.24,-8.43,14.42,-0.24,"Dolidze_14.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Dolidze 15","nan",76.64583,34.85667,9.25,291.0,255.0,1.78,0.86,-2.28,2.69,-0.18,36.0,4.04,17.11,-6.98,21.67,0.25,"Dolidze_15.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Dolidze 16","V",78.68333,32.68861,10.9,349.0,245.0,0.49,2.61,-4.12,2.19,-0.13,104.0,0.25,18.73,-7.44,18.41,0.11,"Dolidze_16.dat","nan","ocl",-8.4,0.5,1.0,1.0,"ocl",78.68333,32.68861
"*","Dolidze 18","V",80.83749,33.50806,8.15,388.0,319.0,-0.15,1.35,-3.77,2.72,-0.06,69.0,0.11,20.05,-5.08,20.6,0.03,"Dolidze_18.dat","nan","ocl",-12.0,8.41,2.0,1.0,"ocl",80.8375,33.50806
"*","Dolidze 19","nan",80.925,8.18333,12.5,211.0,188.0,0.46,2.26,-4.22,3.6,0.03,23.0,7.21,11.12,-11.54,9.25,0.19,"Dolidze_19.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Dolidze 2, IC 1311","nan",302.47498,41.36666,4.0,202.0,141.0,-0.16,4.19,-6.16,4.43,0.25,61.0,-0.26,20.21,-6.22,21.44,0.21,"Dolidze_2.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Dolidze 20","nan",81.95417,33.79333,6.0,189.0,147.0,0.6,2.03,-3.03,2.65,-0.33,42.0,-2.85,10.08,-5.23,11.37,0.1,"Dolidze_20.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Dolidze 21","nan",81.85,7.06667,7.0,90.0,56.0,0.17,1.73,0.53,1.92,0.32,34.0,1.28,11.24,-3.77,12.9,-0.32,"Dolidze_21.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Dolidze 22","nan",95.83749,4.59917,10.7,525.0,445.0,-0.35,2.09,-0.69,2.95,0.05,80.0,1.15,15.87,-2.42,16.79,0.06,"Dolidze_22.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Dolidze 23","nan",100.72916,0.04611,7.35,429.0,367.0,-0.69,1.65,-1.81,2.74,-0.35,62.0,4.59,16.88,-7.23,19.22,0.19,"Dolidze_23.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Dolidze 24","nan",101.17084,1.68472,10.4,628.0,510.0,-0.57,2.4,-1.24,2.48,-0.21,118.0,0.37,16.85,-6.12,12.53,0.0,"Dolidze_24.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Dolidze 25","nan",101.275,0.3,11.0,710.0,596.0,-0.29,1.28,-1.79,1.59,0.06,114.0,-1.46,14.77,-5.4,18.23,-0.1,"Dolidze_25.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Dolidze 26","nan",112.525,11.9,12.5,510.0,408.0,-0.02,4.28,-0.62,2.99,-0.19,102.0,2.84,20.5,-8.0,18.4,0.22,"Dolidze_26.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Dolidze 27","V",249.125,-8.95,13.5,220.0,203.0,-3.82,4.87,-5.09,5.32,-0.06,17.0,-12.15,16.8,-26.71,15.02,-0.21,"Dolidze_27.dat","nan","ocl",-42.86,1.4,1.0,2.0,"ocl",249.125,-8.95
"*","Dolidze 28","V",276.37082,-14.65583,6.8,357.0,314.0,0.17,1.36,-1.47,0.74,-0.22,43.0,-5.76,20.22,-6.41,21.84,0.0,"Dolidze_28.dat","nan","ocl",0.6,1.5,1.0,1.0,"ocl",276.37083,-14.65583
"*","Dolidze 3","nan",303.87082,36.86305,8.5,708.0,532.0,-1.42,2.23,-4.13,2.43,0.41,176.0,-8.31,26.3,2.14,20.69,0.17,"Dolidze_3.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Dolidze 32","V",280.27081,-4.08083,5.9,376.0,357.0,-0.67,0.1,-1.75,0.76,-0.02,19.0,1.07,21.71,-1.28,15.15,-0.25,"Dolidze_32.dat","nan","ocl",14.0,7.4,1.0,1.0,"ocl",280.27083,-4.08083
"*","Dolidze 33","nan",280.32498,-4.36028,5.5,233.0,200.0,-0.5,0.1,-1.9,0.1,0.57,33.0,5.65,10.36,-2.02,12.96,-0.23,"Dolidze_33.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"*","Dolidze 34","nan",280.47498,-4.27694,3.0,76.0,66.0,-0.05,0.11,-1.17,0.1,0.38,10.0,-7.19,0.31,-13.29,4.28,0.99,"Dolidze_34.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
"nan","Dolidze 36","V",300.625,42.1,8.0,538.0,437.0,-1.47,2.69,-3.39,4.46,0.24,101.0,1.9,17.69,0.59,15.61,0.04,"Dolidze_36.dat","nan","ocl",77.0,14.1,1.0,1.0,"ocl",300.625,42.1
"*","Dolidze 37","nan",300.75,37.68333,5.0,150.0,112.0,-0.16,3.37,-3.42,3.73,0.39,38.0,-5.91,19.61,7.8,22.39,-0.11,"Dolidze_37.dat","nan","ocl","nan","nan","nan","nan","nan","nan","nan"
